Ref.,Cliente,Dt. nascimento,Status,Dt. cadastro,Telefone(s),E-mail,Logradouro,Bairro,Cidade,CEP,Mídia,Usuário(s)
CI37432,Carlos Liberato_1,,Ativo,28/11/2023 08:26,Celular: (11) 97657-5780,,,,,,Viva Real,Carol Coelho (Int)
CI37433,Carlos Liberato_2,,Ativo,28/11/2023 08:41,Celular: (11) 97657-5781,,,,,,Indicação,Mara (Int)
CI37434,Carlos Liberato_3,,Ativo,28/11/2023 08:55,Celular: (11) 97657-5782,carlosliberatofilho@hotmail.com,,,,,Imovel Web,Mara (Int)
CI37435,Carlos Liberato_4,,Ativo,28/11/2023 10:05,Celular: (11) 97657-5783,,,,,,Site da Imobiliária,Eneiri (Int)
CI37437,Carlos Liberato_5,,Ativo,28/11/2023 12:19,Celular: (11) 97657-5784,carlosliberatofilho@hotmail.com,,,,,Grupo ZAP,Eneiri (Int)
CI37438,Carlos Liberato_6,,Ativo,28/11/2023 12:38,Celular: (11) 97657-5785,,,,,,Captação,Angela Barbi (Int)
CI37440,Carlos Liberato_7,,Ativo,28/11/2023 14:25,Celular: (11) 97657-5786,,,,,,Viva Real,Celso (Int)
CI37441,Carlos Liberato_8,,Ativo,28/11/2023 14:48,Celular: (11) 97657-5787,,,,,,Recepção,Angela Barbi (Int)
CI37442,Carlos Liberato_9,,Ativo,28/11/2023 14:55,Celular: (11) 97657-5788,carlosliberatofilho@hotmail.com,,,,,Chaves Na Mão,Evaldo Martini (Int)
CI37443,Carlos Liberato_10,,Ativo,28/11/2023 15:21,Celular: (11) 97657-5789,,,,,,Site da Imobiliária,Renata (Int)
CI37444,Carlos Liberato_11,,Ativo,28/11/2023 16:15,Celular: (11) 97657-5790,,,,,,Viva Real,Celso (Int)
CI37445,Carlos Liberato_12,,Ativo,28/11/2023 16:47,Celular: (11) 97657-5791,,,,,,Placa,Mara (Int)
CI37446,Carlos Liberato_13,,Ativo,28/11/2023 16:48,Celular: (11) 97657-5792,,,,,,Placa,Mara (Int)
CI37447,Carlos Liberato_14,,Ativo,28/11/2023 17:11,Celular: (11) 97657-5793,,,,,,Chaves Na Mão,Renata (Int)
CI37449,Carlos Liberato_15,,Ativo,28/11/2023 17:57,Celular: (11) 97657-5794,,,,,,Imovel Web,Carol Coelho (Int)
